PROTEIN_U,PROTEIN_V,CO_EXP
YGR220C,YNL252C,0.7826537648994989
YOL027C,YPR125W,0.0
YDR471W,YNL069C,0.8730792239880469
YJL063C,YKL167C,0.955661591040374
YML025C,YMR193W,0.9265054439601879
YDR449C,YLR186W,0.9396149602834081
YFR036W,YNL172W,0.29661895840813685
YBL038W,YKL167C,0.9325127703323358
YBR122C,YGR220C,0.8472115876808469
YGL025C,YOL135C,0.3243737802462778
YBR146W,YER050C,0.8907402107912884
YBL027W,YDR471W,0.6687855916489354
YML049C,YPL213W,0.0
YBL038W,YLR439W,0.9181034482663601
YCR071C,YJL063C,0.9342694797509568
YKR006C,YMR024W,0.8900209376938837
YIR025W,YLR102C,0.41479865847668546
YBL018C,YIR015W,0.0
YDR296W,YMR024W,0.909755032499401
YKL197C,YNL329C,0.5764958334551352
YDL229W,YLL024C,0.0
YDR449C,YLR129W,0.9250471645136725
YBL093C,YPR168W,0.5797008640345358
YKL173W,YLL036C,0.031560644094070354
YER050C,YOR158W,0.8638979232428757
YGR165W,YNR036C,0.6738170740398558
YER050C,YJR101W,0.8526789095354943
YHR059W,YNL306W,0.8714634850416642
YDR041W,YER050C,0.8628772495612059
YNR010W,YOR174W,0.0
YDL075W,YGR034W,0.0
YLR448W,YNL069C,0.881172399490751
YBL038W,YBR122C,0.9774821730223325
YBR251W,YGR215W,0.8693527094583273
YBR193C,YHR041C,0.0
YDR337W,YHR059W,0.9103655074020309
YGR030C,YIR015W,0.5802583703229431
YBR167C,YGR030C,0.7003994478757114
YDR447C,YER074W,0.0
YGL011C,YGR253C,0.7549488880721347
YML025C,YMR024W,0.9176949301911695
YDL136W,YMR194W,0.0
YDL005C,YMR112C,0.5174464099779973
YDR471W,YHL001W,0.7608349958539453
YCR046C,YJL063C,0.9180691558291544
YCR046C,YML025C,0.9645685954877926
YCL028W,YCR081W,0.3503270968930508
YLR448W,YMR194W,0.860771517193478
YCR031C,YGR085C,0.6494083660418538
YDR447C,YGR085C,0.0
YLR186W,YMR093W,0.939110520953704
YBL038W,YDR322W,0.9356995532496201
YLR129W,YPL126W,0.8726798466912178
YOL135C,YPR168W,0.32302371466825675
YBL018C,YLR145W,0.15919637469831918
YLR071C,YPR168W,0.18048664968471617
YHR148W,YJR002W,0.7716225568644781
YKR006C,YMR193W,0.9306019407004146
YDR471W,YLR448W,0.7492370264752543
YDR308C,YDR443C,0.0
YDR473C,YPR082C,0.0
YBR122C,YDR296W,0.9150663224340951
YDR322W,YJL063C,0.9237385620513899
YDR246W,YOR115C,0.0
YKL173W,YML049C,0.0
YDR322W,YGR220C,0.8473252063760675
YGL077C,YKL051W,0.0
YCL028W,YPR168W,0.0
YDR471W,YMR194W,0.8049024168273101
YBR193C,YOL135C,0.19318628376415609
YFR050C,YJL001W,0.7082883230341345
YDR472W,YML077W,0.8060292538672333
YDR407C,YDR472W,0.0
YGR085C,YMR194W,0.7852615299344136
YDR473C,YPR178W,0.0
YOR174W,YPR070W,0.0
YMR240C,YMR288W,0.264577945974215
YCR071C,YLR312W-A,0.9248393410250275
YKR085C,YNL005C,0.8401288709353498
YLR117C,YPL151C,0.16950243756712902
YNL236W,YNR010W,0.05450668616109912
