PROTEIN_U,PROTEIN_V,PUBMED
YEL030W,YLL024C,19536198
YAL005C,YGR180C,19536198
YHL044W,YHL044W,16093310
YGR270W,YMR322C,19536198
YGL150C,YLR052W,16429126
YGL150C,YLR052W,12887900
YGL150C,YLR052W,16554755
YGL150C,YLR052W,17693258
YJR083C,YNL209W,19536198
YBR169C,YPR103W,19536198
YJR045C,YNR017W,9171336
YJR045C,YNR017W,15797382
YJR045C,YNR017W,14981507
YJR045C,YNR017W,14532110
YJR045C,YNR017W,16107694
YJR045C,YNR017W,10393182
YJR045C,YNR017W,15992824
YDL229W,YMR079W,19536198
YLR265C,YOR005C,17567543
YGL150C,YLR052W,15607974
YGR104C,YPR187W,11383511
YER056C,YMR236W,21734642
YER008C,YIL068C,19073882
YER008C,YIL068C,16429126
YDR188W,YPL110C,19536198
YDL145C,YNL284C,16429126
YDL145C,YNL284C,11805826
YJR045C,YOL005C,19536198
YCL024W,YNL272C,21460040
YBR084W,YGL135W,16429126
YBR010W,YFR019W,22199229
YDR256C,YGR040W,21460040
YJL173C,YNL312W,16429126
YJL173C,YNL312W,16554755
YJL173C,YNL312W,19244309
YJL173C,YNL312W,21332387
YJL173C,YNL312W,18719252
YJL173C,YNL312W,18342608
YDR394W,YMR284W,11805837
YGL180W,YLL043W,16319894
YLR191W,YML034W,19841731
YGR178C,YNL298W,14660704
YGR234W,YPL031C,11805837
YHR088W,YPR143W,15769876
YER158C,YFR028C,17634282
YLL007C,YNL064C,19536198
YER148W,YMR236W,12052880
YER148W,YMR236W,10788514
YER148W,YMR236W,12840001
YER148W,YMR236W,8962109
YBR010W,YBR095C,22199229
YDR221W,YNL209W,19536198
YBL050W,YOL018C,9427746
YBL050W,YOL018C,10397773
YBL050W,YOL018C,16107716
YDR087C,YLR249W,16554755
YEL043W,YER114C,10688190
YDR425W,YHR064C,19536198
YFL002C,YNL096C,21825077
YAL005C,YBL074C,19536198
YGL004C,YIL075C,19446323
YLR074C,YOR063W,16429126
YDL229W,YGL009C,19536198
YBL030C,YML065W,20595233
YBL004W,YLR074C,11805837
YBR245C,YOR254C,19536198
YLL024C,YLR027C,19536198
YKL073W,YNL154C,16319894
YLR106C,YOL108C,14660704
YDL229W,YNL271C,19536198
YJR112W,YOL100W,21460040
YGR113W,YLR424W,14690591
YGR113W,YLR424W,11283351
YDR082W,YER112W,10900456
YDL229W,YDR240C,19536198
YJL033W,YJL033W,14759368
YHR101C,YML109W,14690591
YGL234W,YPL240C,19536198
YER148W,YOR039W,11551505
YER148W,YOR039W,12052880
YBR157C,YKR083C,17634282
YDR118W,YMR134W,17634282
YDL229W,YOL006C,19536198
YFR028C,YPR183W,11805837
YDR276C,YEL002C,16093310
YDR394W,YLR191W,19841731
YBR109C,YNR035C,11474067
YDL185W,YEL023C,16554755
YBR109C,YNR035C,14554195
YGL246C,YKR063C,22083961
YGL246C,YKR063C,12612077
YBR109C,YNR035C,10749918
YCR008W,YLR197W,16554755
YDL229W,YMR285C,19536198
YNL093W,YPL240C,15879519
YBR070C,YDL229W,19536198
YFL014W,YOR093C,19536198
YKR006C,YML025C,16554755
YBL039C,YKL196C,11805826
YIL159W,YOR156C,11743162
YBL097W,YKL049C,21070971
YOL006C,YPL240C,19536198
YAL005C,YPL153C,19536198
YBL008W,YJL176C,10445029
YBL075C,YHR165C,19536198
YOR197W,YOR361C,20624963
YAL038W,YIR010W,21107429
YKR006C,YML025C,16429126
YGR181W,YNR017W,10995434
YDR334W,YMR186W,19536198
YGR181W,YNR017W,18706423
YGR181W,YNR017W,10469659
YCL010C,YCL010C,21734642
YGR181W,YNR017W,12221072
YHR089C,YOR204W,14759368
YNR016C,YPL004C,19269952
YGL244W,YJL014W,19536198
YGR113W,YIL035C,21633108
YGR136W,YOR181W,11743162
YGR136W,YOR181W,10512884
YGR136W,YOR181W,19841731
YDR523C,YNL209W,19536198
YGR136W,YOR181W,21777813
YGR136W,YOR181W,11283351
YGR063C,YMR186W,19536198
YDR515W,YPL240C,19536198
YDL003W,YLR045C,14660704
YGR132C,YNL055C,15525670
YML010W,YNL227C,19536198
YDR088C,YHR064C,19536198
YAL015C,YBL075C,19536198
YDR293C,YOR204W,18467557
YLL019C,YOL041C,20489023
YDR252W,YHR193C,11283351
YAL005C,YBL067C,19536198
YCR067C,YNL171C,11283351
YCL018W,YFL002C,21825077
YJR066W,YKR093W,17507646
YAL007C,YAL023C,21147851
YBR010W,YMR070W,22199229
YEL056W,YPL001W,16554755
YEL056W,YPL001W,18719252
YEL056W,YPL001W,15099519
YEL056W,YPL001W,16429126
YEL056W,YPL001W,11805826
YEL056W,YPL001W,17880717
YNL113W,YOR207C,16554755
YDL065C,YMR313C,21748599
YDL188C,YJL179W,19536198
YDR296W,YIL104C,16429126
