ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-923N|refseq:NP_015343|uniprotkb:Q12495	DIP-811N|refseq:NP_013605|uniprotkb:Q04199	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:11731480|pubmed:DIP-2153S|pubmed:8743889|pubmed:DIP-218S|pubmed:21256037|pubmed:DIP-14675S|pubmed:11805837|pubmed:DIP-1767S|pubmed:21256037|pubmed:DIP-14675S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-146E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0005(high throughput)|dip:0004(small scale)		-
DIP-44N|refseq:NP_011075|uniprotkb:P13393	DIP-839N|refseq:NP_011790|uniprotkb:P46677	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0049(filter binding)|MI:0019(coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:7935765|pubmed:DIP-215S|pubmed:9154807|pubmed:DIP-674S|pubmed:7935765|pubmed:DIP-215S|pubmed:9447997|pubmed:DIP-2163S|pubmed:12215531|pubmed:DIP-2095S|pubmed:8962109|pubmed:DIP-662S|pubmed:9154807|pubmed:DIP-674S|pubmed:9154807|pubmed:DIP-674S|pubmed:9154807|pubmed:DIP-674S|pubmed:9488488|pubmed:DIP-93S|pubmed:7935765|pubmed:DIP-215S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-154E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-839N|refseq:NP_011790|uniprotkb:P46677	DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7935765|pubmed:DIP-215S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-155E	dip-quality-status:core	dip:0002(small scale)		-
DIP-343N|refseq:NP_009971|uniprotkb:P23255	DIP-44N|refseq:NP_011075|uniprotkb:P13393	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-159E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-906N|refseq:NP_010556|uniprotkb:P38995	DIP-813N|refseq:NP_014140|uniprotkb:P38636	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9346482|pubmed:DIP-17997S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-209E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44N|refseq:NP_011075|uniprotkb:P13393	DIP-964N|refseq:NP_014359|uniprotkb:P46678	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7568218|pubmed:DIP-128S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-217E	dip-quality-status:core	dip:0002(small scale)		-
DIP-191N|refseq:NP_011762|uniprotkb:P29056	DIP-964N|refseq:NP_014359|uniprotkb:P46678	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7568218|pubmed:DIP-128S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-218E	dip-quality-status:core	dip:0002(small scale)		-
DIP-44N|refseq:NP_011075|uniprotkb:P13393	DIP-191N|refseq:NP_011762|uniprotkb:P29056	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7797524|pubmed:DIP-572S|pubmed:7568218|pubmed:DIP-128S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-219E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-417N|refseq:NP_009564|uniprotkb:P61830	DIP-595N|refseq:NP_013547|uniprotkb:P06701	 -	-	-	-	MI:0071(molecular sieving)|MI:0401(biochemical)|MI:0045(experimental interaction detection)	-	pubmed:7867066|pubmed:DIP-11S|pubmed:7867066|pubmed:DIP-11S|pubmed:7867066|pubmed:DIP-11S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-230E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-595N|refseq:NP_013547|uniprotkb:P06701	DIP-418N|refseq:NP_009563|uniprotkb:P02309	 -	-	-	-	MI:0401(biochemical)|MI:0107(surface plasmon resonance)|MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pubmed:7867066|pubmed:DIP-11S|pubmed:1171472|pubmed:DIP-2072S|pubmed:7867066|pubmed:DIP-11S|pubmed:7867066|pubmed:DIP-11S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-231E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-33N|refseq:NP_010513|uniprotkb:P11978	DIP-417N|refseq:NP_009564|uniprotkb:P61830	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0071(molecular sieving)	-	pubmed:7867066|pubmed:DIP-11S|pubmed:7867066|pubmed:DIP-11S|pubmed:7867066|pubmed:DIP-11S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-232E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-33N|refseq:NP_010513|uniprotkb:P11978	DIP-418N|refseq:NP_009563|uniprotkb:P02309	 -	-	-	-	MI:0071(molecular sieving)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:7867066|pubmed:DIP-11S|pubmed:7867066|pubmed:DIP-11S|pubmed:7867066|pubmed:DIP-11S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-233E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-33N|refseq:NP_010513|uniprotkb:P11978	DIP-595N|refseq:NP_013547|uniprotkb:P06701	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:8779721|pubmed:DIP-10S|pubmed:8779721|pubmed:DIP-10S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-234E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-595N|refseq:NP_013547|uniprotkb:P06701	DIP-851N|refseq:NP_014183|uniprotkb:P11938	 -	-	-	-	MI:0096(pull down)|MI:0045(experimental interaction detection)|MI:0065(isothermal titration calorimetry)|MI:0065(isothermal titration calorimetry)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0114(x-ray crystallography)	-	pubmed:21217703|pubmed:DIP-14617S|pubmed:8779721|pubmed:DIP-10S|pubmed:21217703|pubmed:DIP-14617S|pubmed:21217703|pubmed:DIP-14617S|pubmed:11689698|pubmed:DIP-2131S|pubmed:7958893|pubmed:DIP-294S|pubmed:21217703|pubmed:DIP-14617S|pubmed:8779721|pubmed:DIP-10S|pubmed:11689698|pubmed:DIP-2131S|pubmed:12080091|pubmed:DIP-1827S|pubmed:21217703|pubmed:DIP-14617S|pubmed:21217703|pubmed:DIP-14617S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-235E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-416N|refseq:NP_010510|uniprotkb:P02293	DIP-595N|refseq:NP_013547|uniprotkb:P06701	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:8779721|pubmed:DIP-10S|pubmed:8779721|pubmed:DIP-10S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-237E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-595N|refseq:NP_013547|uniprotkb:P06701	DIP-595N|refseq:NP_013547|uniprotkb:P06701	-	-	-	-	MI:0018(two hybrid)	-	pubmed:7958893|pubmed:DIP-294S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-238E	dip-quality-status:core	dip:0002(small scale)		-
DIP-33N|refseq:NP_010513|uniprotkb:P11978	DIP-851N|refseq:NP_014183|uniprotkb:P11938	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11689698|pubmed:DIP-2131S|pubmed:7958893|pubmed:DIP-294S|pubmed:12080091|pubmed:DIP-1827S|pubmed:7744964|pubmed:DIP-939S|pubmed:11689698|pubmed:DIP-2131S|pubmed:7867933|pubmed:DIP-938S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-239E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-596N|refseq:NP_010242|uniprotkb:P06700	DIP-33N|refseq:NP_010513|uniprotkb:P11978	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:9000052|pubmed:DIP-358S|pubmed:9000052|pubmed:DIP-358S|pubmed:9122169|pubmed:DIP-941S|pubmed:9122169|pubmed:DIP-941S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-240E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-834N|refseq:NP_010365|uniprotkb:P38959	DIP-1002N|refseq:NP_010206|uniprotkb:Q07468	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:9111041|pubmed:DIP-307S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-241E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-662N|refseq:NP_013537|uniprotkb:P23287	DIP-510N|refseq:NP_012731|uniprotkb:P25296	 -	-	-	-	MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:10373463|pubmed:DIP-669S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-242E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-510N|refseq:NP_012731|uniprotkb:P25296	DIP-833N|refseq:NP_013655|uniprotkb:P14747	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-243E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-551N|refseq:NP_012231|uniprotkb:P07278	DIP-549N|refseq:NP_015121|uniprotkb:P06245	 -	-	-	-	MI:0254(genetic interference)|MI:0045(experimental interaction detection)|MI:0398(two hybrid pooling approach)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:8386630|pubmed:DIP-284S|pubmed:8386630|pubmed:DIP-284S|pubmed:11283351|pubmed:DIP-1102S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-245E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-551N|refseq:NP_012231|uniprotkb:P07278	DIP-550N|refseq:NP_012755|uniprotkb:P05986	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0254(genetic interference)|MI:0018(two hybrid)|MI:0045(experimental interaction detection)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:8386630|pubmed:DIP-284S|pubmed:10688190|pubmed:DIP-513S|pubmed:8386630|pubmed:DIP-284S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-246E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-598N|refseq:NP_013283|uniprotkb:P09959	DIP-847N|refseq:NP_011036|uniprotkb:P25302	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0401(biochemical)	-	pubmed:8649372|pubmed:DIP-384S|pubmed:12024050|pubmed:DIP-1837S|pubmed:8649372|pubmed:DIP-384S|pubmed:8649372|pubmed:DIP-384S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-247E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-658N|refseq:NP_015444|uniprotkb:P24869	DIP-847N|refseq:NP_011036|uniprotkb:P25302	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)	-	pubmed:8402888|pubmed:DIP-1186S|pubmed:8649372|pubmed:DIP-384S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-249E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-157N|refseq:NP_015120|uniprotkb:P29295	DIP-598N|refseq:NP_013283|uniprotkb:P09959	 -	-	-	-	MI:0071(molecular sieving)|MI:0004(affinity chromatography technology)	-	pubmed:9012827|pubmed:DIP-172S|pubmed:9012827|pubmed:DIP-172S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-250E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-719N|refseq:NP_012003|uniprotkb:P23291	DIP-720N|refseq:NP_014245|uniprotkb:P23292	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-251E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-262N|refseq:NP_014682|uniprotkb:P38930	DIP-262N|refseq:NP_014682|uniprotkb:P38930	-	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:7768894|pubmed:DIP-339S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-258E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-938N|refseq:NP_014273|uniprotkb:P53540	DIP-821N|refseq:NP_013313|uniprotkb:P53378	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0676(tandem affinity purification)	-	pubmed:8670895|pubmed:DIP-127S|pubmed:9529377|pubmed:DIP-1395S|pubmed:8670895|pubmed:DIP-127S|pubmed:9529377|pubmed:DIP-1395S|pubmed:10688190|pubmed:DIP-513S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-264E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-826N|refseq:NP_012042|uniprotkb:P38863	DIP-821N|refseq:NP_013313|uniprotkb:P53378	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0401(biochemical)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:12970190|pubmed:DIP-3905S|pubmed:9529377|pubmed:DIP-1395S|pubmed:9130700|pubmed:DIP-228S|pubmed:9130700|pubmed:DIP-228S|pubmed:10688190|pubmed:DIP-513S|pubmed:24161932|pubmed:DIP-17806S|pubmed:9130700|pubmed:DIP-228S|pubmed:24161932|pubmed:DIP-17806S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-265E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0005(high throughput)		-
DIP-826N|refseq:NP_012042|uniprotkb:P38863	DIP-938N|refseq:NP_014273|uniprotkb:P53540	 -	-	-	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:9529377|pubmed:DIP-1395S|pubmed:12970190|pubmed:DIP-3905S|pubmed:9529377|pubmed:DIP-1395S|pubmed:9130700|pubmed:DIP-228S|pubmed:9130700|pubmed:DIP-228S|pubmed:9384578|pubmed:DIP-227S|pubmed:10688190|pubmed:DIP-513S|pubmed:9130700|pubmed:DIP-228S|pubmed:24161932|pubmed:DIP-17806S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-266E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-702N|refseq:NP_010643|uniprotkb:P32380	DIP-938N|refseq:NP_014273|uniprotkb:P53540	 -	-	-	-	MI:0401(biochemical)|MI:0004(affinity chromatography technology)|MI:0254(genetic interference)|MI:0096(pull down)	-	pubmed:9384578|pubmed:DIP-227S|pubmed:11950928|pubmed:DIP-1857S|pubmed:9384578|pubmed:DIP-227S|pubmed:20631709|pubmed:DIP-14821S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0254(genetic interference)|MI:0915(physical association)	MI:0465(dip)	DIP-267E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-826N|refseq:NP_012042|uniprotkb:P38863	DIP-702N|refseq:NP_010643|uniprotkb:P32380	 -	-	-	-	MI:0254(genetic interference)|MI:0401(biochemical)|MI:0004(affinity chromatography technology)|MI:0096(pull down)	-	pubmed:9384578|pubmed:DIP-227S|pubmed:9384578|pubmed:DIP-227S|pubmed:11950928|pubmed:DIP-1857S|pubmed:20631709|pubmed:DIP-14821S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0254(genetic interference)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-268E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-960N|refseq:NP_015093|uniprotkb:P19097	DIP-742N|refseq:NP_012739|uniprotkb:P07149	 -	-	-	-	MI:0013(biophysical)|MI:0028(cosedimentation in solution)|MI:0114(x-ray crystallography)|MI:0410(electron tomography)|MI:0410(electron tomography)|MI:0826(x ray scattering)	-	pubmed:8910467|pubmed:DIP-232S|pubmed:18725634|pubmed:DIP-11623S|pubmed:18725634|pubmed:DIP-11623S|pubmed:18725634|pubmed:DIP-11623S|pubmed:20231485|pubmed:DIP-14906S|pubmed:20231485|pubmed:DIP-14906S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-319E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-51N|uniprotkb:P09086	DIP-44N|refseq:NP_011075|uniprotkb:P13393	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8202368|pubmed:DIP-468S	taxid:9606(Homo sapiens)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-322E	dip-quality-status:core	dip:0002(small scale)		-
DIP-853N|refseq:NP_011975|uniprotkb:P32468	DIP-824N|refseq:NP_010370|uniprotkb:P33304	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:7823940|pubmed:DIP-539S|pubmed:8791410|pubmed:DIP-540S|pubmed:9201710|pubmed:DIP-130S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-329E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
